[Lanes],,,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,,,
Up Node,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Dest Node,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Lanes,cluster_1655457007_1655457008_5913700311_5913700312_#4more,1,1,0,1,1,1,1,2,0,1,2,0,,,
Shared,cluster_1655457007_1655457008_5913700311_5913700312_#4more,0,2,,0,0,0,0,2,,0,2,,,,
Width,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Storage,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Taper,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
StLanes,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Grade,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Speed,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Phase1,cluster_1655457007_1655457008_5913700311_5913700312_#4more,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,cluster_1655457007_1655457008_5913700311_5913700312_#4more,2,,2,6,,6,4,,4,8,,8,,,
LostTime,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Lost Time Adjust,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
IdealFlow,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
SatFlow,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
SatFlowPerm,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Allow RTOR,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Volume,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
Peds,cluster_1655457007_1655457008_5913700311_5913700312_#4more,,,,,,,,,,,,,,,
