[Phases],,,,,,,,,,,,,
Phasing Data,,,,,,,,,,,,,
RECORDNAME,D1,D2,D4,D5,D6,D8,D9,D10,D11,D12,D14,D15,D16
BRP,111,112,212,121,122,222,311,312,411,412,322,421,422
MinGreen,4,15,8,4,15,8,,,,,,,
MaxGreen,7,50,29,7,50,29,,,,,,,
VehExt,1,2,2,1,2,2,,,,,,,
TimeBeforeReduce,0,0,0,0,0,0,,,,,,,
TimeToReduce,0,0,0,0,0,0,,,,,,,
MinGap,3,3,3,3,3,3,,,,,,,
Yellow,4,4,4,4,4,4,,,,,,,
AllRed,0,1,1,0,1,1,,,,,,,
Recall,0,1,0,0,1,0,,,,,,,
Walk,,5,5,,5,5,,,,,,,
DontWalk,,9,13,,9,13,,,,,,,
PedCalls,,0,0,,0,0,,,,,,,
MinSplit,8,20,23,8,20,23,,,,,,,
DualEntry,0,1,1,0,1,1,,,,,,,
InhibitMax,1,1,1,1,1,1,,,,,,,
Start,5,16,71,5,16,71,,,,,,,
End,16,71,5,16,71,5,,,,,,,
Yield,12,66,0,12,66,0,,,,,,,
Yield170,12,57,0,12,57,0,,,,,,,
LocalStart,89,0,55,89,0,55,,,,,,,
LocalYield,96,50,84,96,50,84,,,,,,,
LocalYield170,96,41,84,96,41,84,,,,,,,
ActGreen,2.5,70.8,12.7,2.6,70.7,12.7,,,,,,,
