IntersectionName,Time,NBR,NBT,NBL,NBU,EBR,EBT,EBL,EBU,SBR,SBT,SBL,SBU,WBR,WBT,WBL,WBU
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:00,3,3,,,1,21,1,,1,,3,,3,23,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:15,2,1,1,,1,18,4,,2,,4,,2,22,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:30,2,,2,,1,13,2,,2,,1,,,18,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,0:45,1,,,,,10,,,,,4,,4,21,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:00,2,,1,,1,13,2,,,,3,,2,14,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:15,1,,,,,13,1,,1,,,,2,9,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:30,,1,1,,,14,3,,2,,1,,1,14,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,1:45,1,1,,,,6,2,,2,,5,,1,9,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:00,,,,,,8,,,1,1,1,,1,5,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:15,2,,,,,9,,,,,1,,,10,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:30,,1,,,,4,,,,,2,,2,7,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,2:45,5,1,,,,5,1,,1,1,4,,,8,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:00,,,1,,2,8,2,,,,2,,,13,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:15,,1,1,,2,9,1,,,2,2,,,11,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:30,1,2,1,,1,7,,,1,,1,,,12,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,3:45,1,,,,1,6,,,,2,3,,,12,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:00,,1,1,,,7,,,,,1,,,10,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:15,,1,,,1,9,1,,,1,,,,18,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:30,4,,,,1,22,2,,,2,,,1,17,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,4:45,2,2,1,,,17,4,,,,2,,3,27,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:00,2,,,,1,22,,,,,5,,,21,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:15,1,,2,,1,28,1,,2,1,1,,,30,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:30,2,,,,,34,2,,1,2,2,,,40,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,5:45,,,,,1,36,1,,2,2,7,,3,46,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:00,6,,2,,,39,1,,,3,9,,4,76,,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:15,5,3,1,,2,59,4,,3,3,21,,4,83,1,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:30,3,3,2,,1,65,2,,6,2,14,,4,117,6,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,6:45,4,3,1,,2,80,9,,3,2,16,,8,126,8,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:00,1,3,2,,3,92,3,,5,1,23,,9,136,7,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:15,4,5,1,,4,97,3,,7,5,21,,11,208,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:30,7,5,2,,3,109,4,,6,2,15,,9,256,10,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,7:45,3,2,4,,1,106,6,,3,1,14,,12,215,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:00,5,2,2,,1,118,4,,5,,24,,14,204,9,
Amin Dr./Shallowford Village Dr. & Shallowford Rd.,8:15,6,2,2,,,114,1,,4,2,23,,16,203,7,
