IntersectionName,IntervalStart,IntervalEnd,Turn,Bound,Direction,realcount,TurnRatio,Bearing,Numbering,OpenDriveFromID,OpenDriveToID,JunctionID_OpenDrive
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,NBR,N,R,5.0,0.5555555555555556,23.34,2,423,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,NBT,N,T,2.0,0.2222222222222222,23.34,2,423,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,NBL,N,L,2.0,0.2222222222222222,23.34,2,423,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,NBU,N,U,0.0,0.0,23.34,2,423,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,EBR,E,R,1.0,0.008130081300813009,114.28,11,426,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,EBT,E,T,118.0,0.959349593495935,114.28,11,426,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,EBL,E,L,4.0,0.032520325203252036,114.28,11,426,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,EBU,E,U,0.0,0.0,114.28,11,426,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,SBR,S,R,5.0,0.1724137931034483,201.4,20,440,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,SBT,S,T,0.0,0.0,201.4,20,440,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,SBL,S,L,24.0,0.8275862068965517,201.4,20,440,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,SBU,S,U,0.0,0.0,201.4,20,440,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,WBR,W,R,14.0,0.06167400881057269,293.24,29,412,410,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,WBT,W,T,204.0,0.8986784140969163,293.24,29,412,409,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,WBL,W,L,9.0,0.039647577092511016,293.24,29,412,408,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,28800,29700,WBU,W,U,0.0,0.0,293.24,29,412,407,
0413) Shallowford Rd & I-75 SB,28800,29700,EBR,E,R,26.0,0.203125,111.5,11,424,399,
0413) Shallowford Rd & I-75 SB,28800,29700,EBT,E,T,102.0,0.796875,111.5,11,424,400,
0413) Shallowford Rd & I-75 SB,28800,29700,SBR,S,R,67.0,0.39644970414201186,235.09,24,424,398,
0413) Shallowford Rd & I-75 SB,28800,29700,SBT,S,T,0.0,0.0,235.09,24,402,399,
0413) Shallowford Rd & I-75 SB,28800,29700,SBL,S,L,101.0,0.5976331360946746,235.09,24,402,400,
0413) Shallowford Rd & I-75 SB,28800,29700,WBT,W,T,170.0,0.6589147286821705,291.99,29,402,398,
0413) Shallowford Rd & I-75 SB,28800,29700,WBL,W,L,87.0,0.3372093023255814,291.99,29,414,400,
0413) Shallowford Rd & I-75 SB,28800,29700,WBU,W,U,0.0,0.0,291.99,29,414,398,
0414) Shallowford Rd & I-75 NB,28800,29700,NBR,N,R,124.0,0.6458333333333334,50.76,5,411,403,
0414) Shallowford Rd & I-75 NB,28800,29700,NBT,N,T,12.0,0.0625,50.76,5,411,401,
0414) Shallowford Rd & I-75 NB,28800,29700,NBL,N,L,56.0,0.2916666666666667,50.76,5,406,404,
0414) Shallowford Rd & I-75 NB,28800,29700,EBT,E,T,188.0,0.8785046728971962,114.36,11,406,403,
0414) Shallowford Rd & I-75 NB,28800,29700,EBL,E,L,26.0,0.12149532710280374,114.36,11,406,401,
0414) Shallowford Rd & I-75 NB,28800,29700,EBU,E,U,0.0,0.0,114.36,11,397,404,
0414) Shallowford Rd & I-75 NB,28800,29700,WBR,W,R,56.0,0.21292775665399238,296.65,30,397,403,
0414) Shallowford Rd & I-75 NB,28800,29700,WBT,W,T,207.0,0.7870722433460076,296.65,30,397,401,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,NBR,N,R,6.0,0.15384615384615385,25.84,3,434,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,NBT,N,T,6.0,0.15384615384615385,25.84,3,434,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,NBL,N,L,27.0,0.6923076923076923,25.84,3,434,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,NBU,N,U,0.0,0.0,25.84,3,434,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,EBR,E,R,5.0,0.021367521367521368,116.65,12,399,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,EBT,E,T,217.0,0.9273504273504274,116.65,12,399,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,EBL,E,L,12.0,0.05128205128205128,116.65,12,399,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,EBU,E,U,0.0,0.0,116.65,12,399,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,SBR,S,R,5.0,0.7142857142857143,202.48,20,441,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,SBT,S,T,1.0,0.14285714285714285,202.48,20,441,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,SBL,S,L,1.0,0.14285714285714285,202.48,20,441,416,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,SBU,S,U,0.0,0.0,202.48,20,441,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,WBR,W,R,0.0,0.0,294.22,29,436,417,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,WBT,W,T,217.0,0.9194915254237288,294.22,29,436,414,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,WBL,W,L,19.0,0.08050847457627118,294.22,29,436,415,
0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,28800,29700,WBU,W,U,0.0,0.0,294.22,29,436,416,
0416) Shallowford Rd & Lifestyle Way,28800,29700,NBR,N,R,5.0,0.35714285714285715,24.39,2,432,395,
0416) Shallowford Rd & Lifestyle Way,28800,29700,NBT,N,T,4.0,0.2857142857142857,24.39,2,432,394,
0416) Shallowford Rd & Lifestyle Way,28800,29700,NBL,N,L,5.0,0.35714285714285715,24.39,2,432,392,
0416) Shallowford Rd & Lifestyle Way,28800,29700,NBU,N,U,0.0,0.0,24.39,2,432,393,
0416) Shallowford Rd & Lifestyle Way,28800,29700,EBR,E,R,8.0,0.02867383512544803,113.75,11,427,393,
0416) Shallowford Rd & Lifestyle Way,28800,29700,EBT,E,T,238.0,0.8530465949820788,113.75,11,427,395,
0416) Shallowford Rd & Lifestyle Way,28800,29700,EBL,E,L,33.0,0.11827956989247312,113.75,11,427,394,
0416) Shallowford Rd & Lifestyle Way,28800,29700,EBU,E,U,0.0,0.0,113.75,11,427,392,
0416) Shallowford Rd & Lifestyle Way,28800,29700,SBR,S,R,19.0,0.6785714285714286,204.06,20,433,392,
0416) Shallowford Rd & Lifestyle Way,28800,29700,SBT,S,T,8.0,0.2857142857142857,204.06,20,433,393,
0416) Shallowford Rd & Lifestyle Way,28800,29700,SBL,S,L,1.0,0.03571428571428571,204.06,20,433,395,
0416) Shallowford Rd & Lifestyle Way,28800,29700,SBU,S,U,0.0,0.0,204.06,20,433,394,
0416) Shallowford Rd & Lifestyle Way,28800,29700,WBR,W,R,6.0,0.020134228187919462,294.03,29,444,394,
0416) Shallowford Rd & Lifestyle Way,28800,29700,WBT,W,T,283.0,0.9496644295302014,294.03,29,444,392,
0416) Shallowford Rd & Lifestyle Way,28800,29700,WBL,W,L,9.0,0.030201342281879196,294.03,29,444,393,
0416) Shallowford Rd & Lifestyle Way,28800,29700,WBU,W,U,0.0,0.0,294.03,29,444,395,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,NBR,N,R,13.0,0.1326530612244898,23.93,2,422,418,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,NBT,N,T,30.0,0.30612244897959184,23.93,2,422,420,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,NBL,N,L,55.0,0.5612244897959183,23.93,2,422,421,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,NBU,N,U,0.0,0.0,23.93,2,422,419,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,EBR,E,R,121.0,0.42907801418439717,114.05,11,445,419,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,EBT,E,T,132.0,0.46808510638297873,114.05,11,445,418,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,EBL,E,L,29.0,0.10283687943262411,114.05,11,445,420,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,EBU,E,U,0.0,0.0,114.05,11,445,421,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,SBR,S,R,29.0,0.4027777777777778,201.62,20,442,421,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,SBT,S,T,37.0,0.5138888888888888,201.62,20,442,419,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,SBL,S,L,6.0,0.08333333333333333,201.62,20,442,418,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,SBU,S,U,0.0,0.0,201.62,20,442,420,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,WBR,W,R,10.0,0.053763440860215055,294.05,29,390,420,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,WBT,W,T,158.0,0.8494623655913979,294.05,29,390,421,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,WBL,W,L,18.0,0.0967741935483871,294.05,29,390,419,
0417) Shallowford Rd & Gunbarrel Rd,28800,29700,WBU,W,U,0.0,0.0,294.05,29,390,418,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,NBR,N,R,6.0,0.6,23.34,2,423,407,
0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,29700,30600,NBT,N,T,2.0,0.2,23.34,2,423,410,
