IntervalStart,IntervalEnd,IntersectionName,OpenDriveFromID,Count
28800,29700,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,423,9
28800,29700,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,426,123
28800,29700,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,440,29
28800,29700,0413) Shallowford Rd & I-75 SB,424,195
28800,29700,0414) Shallowford Rd & I-75 NB,406,270
28800,29700,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,434,39
28800,29700,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,441,7
28800,29700,0416) Shallowford Rd & Lifestyle Way,432,14
28800,29700,0416) Shallowford Rd & Lifestyle Way,433,28
28800,29700,0417) Shallowford Rd & Gunbarrel Rd,391,186
28800,29700,0417) Shallowford Rd & Gunbarrel Rd,422,98
28800,29700,0417) Shallowford Rd & Gunbarrel Rd,442,72
28800,29700,Calibration for Edge 431,431,0
28800,29700,Calibration for Edge 435,435,0
28800,29700,Calibration for Edge 447,447,0
28800,29700,Calibration for Edge 448,448,0
29700,30600,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,423,10
29700,30600,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,426,115
29700,30600,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,440,29
29700,30600,0413) Shallowford Rd & I-75 SB,424,200
29700,30600,0414) Shallowford Rd & I-75 NB,406,260
29700,30600,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,434,36
29700,30600,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,441,6
29700,30600,0416) Shallowford Rd & Lifestyle Way,432,10
29700,30600,0416) Shallowford Rd & Lifestyle Way,433,27
29700,30600,0417) Shallowford Rd & Gunbarrel Rd,391,192
29700,30600,0417) Shallowford Rd & Gunbarrel Rd,422,105
29700,30600,0417) Shallowford Rd & Gunbarrel Rd,442,90
29700,30600,Calibration for Edge 431,431,0
29700,30600,Calibration for Edge 435,435,0
29700,30600,Calibration for Edge 447,447,0
29700,30600,Calibration for Edge 448,448,0
30600,31500,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,423,6
30600,31500,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,426,133
30600,31500,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,440,24
30600,31500,0413) Shallowford Rd & I-75 SB,424,206
30600,31500,0414) Shallowford Rd & I-75 NB,406,279
30600,31500,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,434,57
30600,31500,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,441,1
30600,31500,0416) Shallowford Rd & Lifestyle Way,432,13
30600,31500,0416) Shallowford Rd & Lifestyle Way,433,25
30600,31500,0417) Shallowford Rd & Gunbarrel Rd,391,211
30600,31500,0417) Shallowford Rd & Gunbarrel Rd,422,114
30600,31500,0417) Shallowford Rd & Gunbarrel Rd,442,95
30600,31500,Calibration for Edge 431,431,0
30600,31500,Calibration for Edge 435,435,0
30600,31500,Calibration for Edge 447,447,0
30600,31500,Calibration for Edge 448,448,0
31500,32400,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,423,18
31500,32400,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,426,160
31500,32400,0412) Shallowford Rd & Shallowford Village Dr / Amin Dr,440,40
31500,32400,0413) Shallowford Rd & I-75 SB,424,230
31500,32400,0414) Shallowford Rd & I-75 NB,406,345
31500,32400,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,434,35
31500,32400,0415) Shallowford Rd & Napier Rd / Hamilton Place Blvd,441,8
31500,32400,0416) Shallowford Rd & Lifestyle Way,432,12
31500,32400,0416) Shallowford Rd & Lifestyle Way,433,27
31500,32400,0417) Shallowford Rd & Gunbarrel Rd,391,196
31500,32400,0417) Shallowford Rd & Gunbarrel Rd,422,100
31500,32400,0417) Shallowford Rd & Gunbarrel Rd,442,106
31500,32400,Calibration for Edge 431,431,0
31500,32400,Calibration for Edge 435,435,0
31500,32400,Calibration for Edge 447,447,0
31500,32400,Calibration for Edge 448,448,0
